id,name,field,value,ppm,sourceUrl
1012,"MASQUE CHIRURGICAL",posology,"À compléter",0.8,""
1012,"MASQUE CHIRURGICAL",contraindications,"À compléter",0.8,""
1012,"MASQUE CHIRURGICAL",sideEffects,"À compléter",0.8,""
1012,"MASQUE CHIRURGICAL",conservation,"À compléter",0.8,""
1037,"ACDIGEST, GÉLULE",posology,"À compléter",80,""
1037,"ACDIGEST, GÉLULE",contraindications,"À compléter",80,""
1037,"ACDIGEST, GÉLULE",sideEffects,"À compléter",80,""
1037,"ACDIGEST, GÉLULE",conservation,"À compléter",80,""
1038,"ACERUMEN, FLACON UNIDOSE",posology,"À compléter",10,""
1038,"ACERUMEN, FLACON UNIDOSE",contraindications,"À compléter",10,""
1038,"ACERUMEN, FLACON UNIDOSE",sideEffects,"À compléter",10,""
1038,"ACERUMEN, FLACON UNIDOSE",conservation,"À compléter",10,""
1045,"ACTALEVURE, GELULE",posology,"À compléter",80,""
1045,"ACTALEVURE, GELULE",contraindications,"À compléter",80,""
1045,"ACTALEVURE, GELULE",sideEffects,"À compléter",80,""
1045,"ACTALEVURE, GELULE",conservation,"À compléter",80,""
1051,"ACTICARBON PLUS, GÉLULES",posology,"À compléter",10,""
1051,"ACTICARBON PLUS, GÉLULES",contraindications,"À compléter",10,""
1051,"ACTICARBON PLUS, GÉLULES",sideEffects,"À compléter",10,""
1051,"ACTICARBON PLUS, GÉLULES",conservation,"À compléter",10,""
1089,"ADFIL, ÉMULSION",indications,"À compléter",39,""
1089,"ADFIL, ÉMULSION",posology,"À compléter",39,""
1089,"ADFIL, ÉMULSION",contraindications,"À compléter",39,""
1089,"ADFIL, ÉMULSION",sideEffects,"À compléter",39,""
1089,"ADFIL, ÉMULSION",conservation,"À compléter",39,""
1114,"ALFLOREX, GELULE",posology,"À compléter",60,""
1114,"ALFLOREX, GELULE",contraindications,"À compléter",60,""
1114,"ALFLOREX, GELULE",sideEffects,"À compléter",60,""
1114,"ALFLOREX, GELULE",conservation,"À compléter",60,""
1126,"ALPHA-KADOL, POMMADE",posology,"À compléter",21,""
1126,"ALPHA-KADOL, POMMADE",contraindications,"À compléter",21,""
1126,"ALPHA-KADOL, POMMADE",sideEffects,"À compléter",21,""
1126,"ALPHA-KADOL, POMMADE",conservation,"À compléter",21,""
1164,"ANTIBIO-SYNALAR, GOUTTE AURICULAIRE",indications,"À compléter",18,""
1164,"ANTIBIO-SYNALAR, GOUTTE AURICULAIRE",posology,"À compléter",18,""
1164,"ANTIBIO-SYNALAR, GOUTTE AURICULAIRE",contraindications,"À compléter",18,""
1164,"ANTIBIO-SYNALAR, GOUTTE AURICULAIRE",sideEffects,"À compléter",18,""
1164,"ANTIBIO-SYNALAR, GOUTTE AURICULAIRE",conservation,"À compléter",18,""
1177,"APIMAX GELEE ROYALE, AMPOULES BUVABLES",indications,"À compléter",60,""
1177,"APIMAX GELEE ROYALE, AMPOULES BUVABLES",posology,"À compléter",60,""
1177,"APIMAX GELEE ROYALE, AMPOULES BUVABLES",contraindications,"À compléter",60,""
1177,"APIMAX GELEE ROYALE, AMPOULES BUVABLES",sideEffects,"À compléter",60,""
1177,"APIMAX GELEE ROYALE, AMPOULES BUVABLES",conservation,"À compléter",60,""
1259,"ARTHRODONT, PÂTE GINGIVALE",indications,"À compléter",20,""
1259,"ARTHRODONT, PÂTE GINGIVALE",posology,"À compléter",20,""
1259,"ARTHRODONT, PÂTE GINGIVALE",contraindications,"À compléter",20,""
1259,"ARTHRODONT, PÂTE GINGIVALE",sideEffects,"À compléter",20,""
1259,"ARTHRODONT, PÂTE GINGIVALE",conservation,"À compléter",20,""
1356,"ALGIPAN, BAUME",indications,"À compléter",13,""
1356,"ALGIPAN, BAUME",posology,"À compléter",13,""
1356,"ALGIPAN, BAUME",contraindications,"À compléter",13,""
1356,"ALGIPAN, BAUME",sideEffects,"À compléter",13,""
1356,"ALGIPAN, BAUME",conservation,"À compléter",13,""
